,sCD40L,EGF,Eotaxin,FGF-2,FLT-3L,Fractalkine,G-CSF,GROα,IFN-α2,IFNγ,IL-1α,IL-1β,IL-1RA,IL-2,IL-3,IL-4,IL-5,IL-6,IL-7,IL-8,IL-9,IL-10,IL-12p40,IL-12p70,IL-13,IL-15,IL-17A,IL-17E/IL-25,IL-17F,IL-18,IL-22,IL-27,IP-10,MCP-1,MCP-3,M-CSF,MDC,MIG/CXCL9,MIP-1α,MIP-1β,PDGF-AA,PDGF-AB/BB,RANTES,TGFα,TNFα,TNFβ,VEGF-A,6CKine,BCA-1,CTACK,ENA-78,Eotaxin-2,Eotaxin-3,I-309,IL-16,IL-21,IL-23,IL-33,LIF,MCP-2,MCP-4,MIP-1δ,SCF,SDF-1α+β,TARC,TPO,TRAIL
sCD40L,0.0,0.5375605677931319,0.2915285587245958,0.21313575711371435,0.2706672374106202,0.27477563694446977,0.628671605423017,0.5778502414461003,0.21681125475434687,0.4069790656579675,0.6028092294650993,0.6026176843799291,0.6613864833801671,0.26030502647480525,0.3453773718586215,0.22450137723617303,0.3554995898062361,0.5523707352888998,0.2630891330238611,0.744535491958178,0.22588984739867118,0.5359138694962671,0.42078623182549213,0.2544253055830352,0.23050873872637057,0.27242092702970433,0.3987144515058686,0.21182450009214143,0.36131404535204503,0.4006876100696575,0.2537678637506791,0.2217711213622659,0.5886988053323149,0.6877012877464601,0.3237057823511829,0.6086837793929554,0.2867251909305438,0.4165823805749697,0.5142228681435563,0.5712158552702647,0.09331890163552686,0.3218024760999755,0.2369103910167319,0.3213450309589767,0.30358288466824257,0.2401938002087064,0.4181839386370231,0.28651670680158114,0.4689829270369931,0.25649726333043776,0.3496893790320306,0.38272585196576886,0.334873558274453,0.34142108794934606,0.49998781720848734,0.449364440490565,0.4293485907169459,0.4597159321045538,0.2725212643475394,0.47737177705133993,0.4468360377450492,0.3054254708911103,0.41248239782825413,0.23431507914010635,0.29986068897499896,0.47538604354128766,0.6597546058334209
EGF,0.5375605677931319,0.0,0.5234086990232598,0.5140520799861319,0.5576500393924105,0.40312143953095564,0.10708149162548769,0.2405610559969557,0.5251577056282917,0.49603923378825177,0.4674260429163237,0.4708358285520494,0.43156640827202697,0.49448523508962916,0.4223185253155261,0.5019199382525766,0.5270134885460216,0.4328589752104848,0.47310096308119576,0.4214483751086446,0.5487365475725049,0.5029669015283142,0.5438982272346065,0.5024362246258028,0.5075450773693394,0.4828887524176343,0.4879712768227924,0.5371995433707252,0.5137647275800119,0.5068894694927786,0.4680064391784038,0.6284628034310401,0.3340334680877282,0.2229566199877096,0.43204442383959557,0.4363093623609292,0.5660326488878502,0.5285652450550944,0.3319167942580681,0.26340505230757816,0.5596305765040163,0.5610320449889107,0.607545321089441,0.4716481104169009,0.4555339402131378,0.5148361403688555,0.21959968505694988,0.5481802784897987,0.5409981789397628,0.6156982181653508,0.31301912620405253,0.5802266313490589,0.5106072703313184,0.5307630733298752,0.372734483936465,0.5287103020068625,0.5318676501431951,0.5335141775589183,0.517800957394323,0.463885013531489,0.519360999586284,0.5106087617322869,0.5318013071464265,0.5312803543395384,0.511958521098153,0.5238563320919378,0.40842061967426163
Eotaxin,0.2915285587245958,0.5234086990232598,0.0,0.2809413059839412,0.1597606191187303,0.25247124141214494,0.5411322091193783,0.5049206585700102,0.19449025439152473,0.39057450647883807,0.541574603635844,0.5583219160297583,0.5762189615667844,0.3117216529536732,0.3029521418863631,0.26877220770274535,0.34424504418254676,0.532512449089308,0.31180537162811794,0.6394287257651216,0.20993744476346737,0.5224680572780426,0.29194764743749846,0.24227740342012138,0.2470233429690356,0.3580641571230805,0.2378716941890564,0.2044113702752306,0.14962587559550838,0.33073002737303236,0.3214993095228472,0.291280724858408,0.5534510782693997,0.5890310179529923,0.31904567707623,0.5048973753933619,0.388039839366449,0.4569573164179047,0.4309198807390663,0.5286030336328338,0.3361575574358928,0.3457455632682076,0.34518317088691963,0.16257249640065535,0.26113924899654867,0.263364639193332,0.39920204287246147,0.1546990596336218,0.4454517227562778,0.3172468032123279,0.5520261602814585,0.33710290403221654,0.1690595174729898,0.1612677491547942,0.31646425118144195,0.23111528899990214,0.1494772460602885,0.1860309822609345,0.1384422613326352,0.4320875649749707,0.24802511519911558,0.3083392597746548,0.22423435068621317,0.26643217407995395,0.4089344947179717,0.21918683143195444,0.5482517383398531
FGF-2,0.21313575711371435,0.5140520799861319,0.2809413059839412,0.0,0.2603471360125589,0.08405017013841143,0.5299627490062861,0.5241877723779966,0.04203159730413958,0.21296997288564112,0.506119114025409,0.48244498270993497,0.5234197176946982,0.021609993814728057,0.20826624625298978,0.012235237186541792,0.22297106462685828,0.5195936216658138,0.21010375906328566,0.5682188848010575,0.06003348123469843,0.46717786658823507,0.4543278520076843,0.02469155408856677,0.018372375738325397,0.03488089795341531,0.36026874253555863,0.06244318184022318,0.3467732132720097,0.4860067067298838,0.03147399966949399,0.22249833597568225,0.5379547286584626,0.5494632641879745,0.10846493101952764,0.43035693260071317,0.4929990556163385,0.4570929590479005,0.3660447339386578,0.5297515762469953,0.233359470755088,0.40692007140753605,0.3713935812680559,0.22440643235097135,0.09227361905891385,0.027279535331280635,0.3248865134699435,0.16137052975303595,0.4873790027473066,0.44962931539676354,0.516675488491309,0.5012072097065641,0.22680133234628852,0.3271343418867525,0.4371821281396054,0.41269620704659243,0.37863234958341774,0.44345832826910686,0.1110917300226738,0.45232084914597515,0.44882689052665503,0.24721189671550525,0.3566975065686798,0.4374981215887919,0.5062414898845887,0.4584498217478171,0.546779149953193
FLT-3L,0.2706672374106202,0.5576500393924105,0.1597606191187303,0.2603471360125589,0.0,0.2427453215633516,0.5576953256366363,0.5332593720891724,0.19291310212536533,0.3857711268896026,0.5286166538997795,0.538124177849838,0.5562966968536918,0.31880331204862733,0.4602961926356567,0.2573388684037537,0.40061325704635153,0.48539713373158067,0.19632527732053423,0.6303886935363803,0.19342754797744666,0.4820373464484686,0.3623448466864506,0.27054538018336816,0.26623747198339776,0.3481455001069201,0.2538693420282293,0.17088220731722709,0.15846280828103154,0.4940467720078439,0.28861943483396635,0.23059023227748582,0.5342165058305671,0.5843881336709931,0.25821837468156106,0.44982705778706045,0.4562920806079981,0.3270406346374619,0.4036819384424921,0.4866634946081145,0.33492168909129194,0.38585589374276363,0.31417347801728973,0.13210784440567624,0.2633986940008502,0.23014191672215661,0.4639855662428375,0.2541095126727855,0.4988379578514976,0.36132981532352526,0.4749943704548401,0.40396424883297355,0.3108317114210122,0.3063934063258045,0.4417720063574903,0.37468222480814917,0.2692688181264504,0.3355319421156806,0.16570716994812518,0.43209501336747386,0.39029289139660384,0.3993844378347352,0.36121432386915486,0.38672305748719904,0.5022784601010988,0.36893973419097537,0.5639953737093595
Fractalkine,0.27477563694446977,0.40312143953095564,0.25247124141214494,0.08405017013841143,0.2427453215633516,0.0,0.3967794100459098,0.4994394653616841,0.06241053998212365,0.2669963076486083,0.5311487245848187,0.5161926614279687,0.5112534567027562,0.09469759778671988,0.2318417084631761,0.06685103448451768,0.2888767471946809,0.44867247469739213,0.18724845902553994,0.5513626685992243,0.11354640789160692,0.5057338560544189,0.44603494550020395,0.07156213530577188,0.06703968559576007,0.12203100384794058,0.3284652685442332,0.08294450814855114,0.27931428453757406,0.510193345977293,0.0644140966749166,0.24927806369703115,0.45296597833337615,0.520803092199084,0.12113149733969841,0.45198498437356094,0.49518838862388503,0.48836902508020724,0.3343607548217977,0.4659789289265936,0.3203197691305715,0.46651232498334044,0.41802184511024953,0.1735164982134907,0.13122369037676107,0.07766245527360705,0.2588566308805786,0.19000380535103029,0.4563678363707272,0.45620241858988647,0.43097049496703216,0.5226884212970059,0.23830768171533573,0.37579159552912356,0.3912592038182884,0.4065890377989302,0.34408239912559463,0.41678696580699903,0.12548424992611185,0.3332361451457079,0.44528720632601737,0.29854413575925587,0.3634854907263706,0.44252684179703,0.5156398718097727,0.44449426253585134,0.43750212763774565
G-CSF,0.628671605423017,0.10708149162548769,0.5411322091193783,0.5299627490062861,0.5576953256366363,0.3967794100459098,0.0,0.18158203262735673,0.5254067285338637,0.5241137472319951,0.5180802051874562,0.5174477365373562,0.3814646531339906,0.5154158750258858,0.33681206861649227,0.5222072853360994,0.5299322657828714,0.3394430015868504,0.5069376613848428,0.34709797672128984,0.5495500828806468,0.5383515231128412,0.5286702848957595,0.5123019504471025,0.5268429713548103,0.5034284351797024,0.47669892746701437,0.5424221054035545,0.5037565199430222,0.5734939261531139,0.48745498424445016,0.605688056358588,0.25778678505582286,0.2268728130699727,0.36680506470130136,0.42662878058453807,0.6295880583596755,0.49796231595785884,0.36927657161205724,0.2944493608863802,0.6536227324523335,0.624916132093137,0.6216025060417331,0.4761595846415658,0.4993967842191961,0.523982968104173,0.21829990407456767,0.5366250484822382,0.5291090379385892,0.6528292901962127,0.3449786507489978,0.5832892231225616,0.5092514428776419,0.5645445092710161,0.37918464087952264,0.5038849819146736,0.5021513561627136,0.5056050708053794,0.5175874023828801,0.3500644873272285,0.5089957806920041,0.5295107448980485,0.5090482059471513,0.5934145641815336,0.6100130967787694,0.499243577212808,0.30858099616173995
GROα,0.5778502414461003,0.2405610559969557,0.5049206585700102,0.5241877723779966,0.5332593720891724,0.4994394653616841,0.18158203262735673,0.0,0.5353054295257179,0.5130292691279046,0.5099589560860673,0.5133623248037169,0.40130762370066553,0.513926904542127,0.47599837572744497,0.5214796744434621,0.5297025083933442,0.43161465678302563,0.4129566584772561,0.32095902311774704,0.5368714731089236,0.5186217130114041,0.5413371717685439,0.519929225566062,0.5251688168882083,0.5103702942589017,0.5091277196435969,0.5403496069307295,0.5231077369353991,0.5448965976913615,0.4095654186235945,0.5716063524684589,0.35093207757243544,0.27811169166911276,0.42366120601970825,0.46184872713441816,0.5685815932976734,0.5230900261284819,0.43388419341135237,0.40793566209857796,0.5864461129513685,0.5642858651884386,0.5664988026061646,0.5077602487257428,0.5357549368335036,0.5096022157670848,0.24658383722631216,0.5404561177865306,0.5185886517861413,0.5916361880859574,0.45334495800040864,0.5269172991668364,0.5211177819209576,0.5509432771776196,0.44445724086073796,0.5177150378384912,0.5246243863105382,0.5210877214004775,0.5240774695485334,0.5042152825554007,0.5155631670665959,0.5209860276089978,0.5252274678954304,0.5703542238910138,0.5592446375014467,0.516301563717415,0.412003989284306
IFN-α2,0.21681125475434687,0.5251577056282917,0.19449025439152473,0.04203159730413958,0.19291310212536533,0.06241053998212365,0.5254067285338637,0.5353054295257179,0.0,0.24411206388200546,0.5200145425904702,0.5129303537625355,0.5667598395121498,0.058326979805725765,0.17030190511187643,0.028585092702948955,0.23922082454585464,0.5318331352586086,0.1983860602153874,0.6080147977759651,0.052709538608566864,0.4996939071086796,0.3415190928837837,0.02162364340812184,0.026584069151697365,0.09267192059660018,0.23934312120423207,0.01917876067259916,0.20552685403523624,0.469407410745572,0.08274626131939189,0.2027683546622493,0.5329704501165305,0.5895827721330076,0.11471353990400562,0.45306727545599346,0.4591365434083319,0.4590650627209626,0.36896551817127493,0.5393695488038036,0.26453068892503273,0.43045442786653465,0.39097557676757316,0.12736880260251288,0.07474576954401979,0.05884346008814351,0.3574522489403221,0.09189197067624916,0.46543855904490916,0.4217637055690271,0.518889396146948,0.46306032583009815,0.14590146475446325,0.2970878662725578,0.3962915444252923,0.311571770093787,0.2593272885773974,0.33018037315945725,0.04729923550660797,0.4243899839440432,0.35444597345410916,0.2634985602174,0.2607769035769917,0.36034908000177757,0.4786780719041801,0.355630711158296,0.5437208193915333
IFNγ,0.4069790656579675,0.49603923378825177,0.39057450647883807,0.21296997288564112,0.3857711268896026,0.2669963076486083,0.5241137472319951,0.5130292691279046,0.24411206388200546,0.0,0.3174886676282486,0.3092832728402152,0.3705780899524552,0.222995174736679,0.1860681182546826,0.22778897645502877,0.3479235942894972,0.43199682982199805,0.2198425107018725,0.4630756804884954,0.264528337540552,0.11354635959356435,0.4926972898033738,0.22410929779421135,0.23027322468929995,0.2117555742418658,0.40843989299127126,0.2610625978168067,0.40585875841516456,0.5350235941807435,0.03625536725815359,0.39201768453838554,0.5274631920360756,0.4217608717792972,0.29152130000364174,0.3979517378268106,0.5569729265738391,0.37673942091735596,0.4306676169081491,0.4843085769416252,0.4355558160213394,0.5124535197459325,0.5007672908450752,0.3209381528561924,0.24665844627672323,0.2470184846390473,0.4436593052623046,0.31974037499921315,0.5139358453756128,0.5425594298338309,0.5657475826798097,0.5437833505659043,0.34232171796976785,0.44410315000254585,0.48935841277013137,0.4362802772551144,0.4183789464257406,0.45823467429210163,0.2665195927260117,0.4868067276391621,0.466440471691103,0.39684612906824224,0.41250078705830073,0.5076886167603497,0.5641427038686985,0.4657438066419814,0.5001880719556997
