,sCD40L,EGF,Eotaxin,FGF-2,FLT-3L,Fractalkine,G-CSF,GROα,IFN-α2,IFNγ,IL-1α,IL-1β,IL-1RA,IL-2,IL-3,IL-4,IL-5,IL-6,IL-7,IL-8,IL-9,IL-10,IL-12p40,IL-12p70,IL-13,IL-15,IL-17A,IL-17E/IL-25,IL-17F,IL-18,IL-22,IL-27,IP-10,MCP-1,MCP-3,M-CSF,MDC,MIG/CXCL9,MIP-1α,MIP-1β,PDGF-AA,PDGF-AB/BB,RANTES,TGFα,TNFα,TNFβ,VEGF-A,6CKine,BCA-1,CTACK,ENA-78,Eotaxin-2,Eotaxin-3,I-309,IL-16,IL-21,IL-23,IL-33,LIF,MCP-2,MCP-4,MIP-1δ,SCF,SDF-1α+β,TARC,TPO,TRAIL
sCD40L,0.0,0.5847154153399939,0.4544291058272861,0.33704697570269637,0.39080143417432356,0.4491657540226658,0.687551578241082,0.6110364967269288,0.35625301593296477,0.5457243943700183,0.6409735395115561,0.6348659053051564,0.7108338522882666,0.4124181870775854,0.5403196223715173,0.35917199735401406,0.49726066299086413,0.6155772931989324,0.349087545075045,0.7426672889309999,0.36847037382359826,0.5813070653540642,0.5561720433685896,0.43183797507623745,0.3784958510675053,0.43363010194109314,0.5671378065281181,0.3412863169520757,0.5187148893386107,0.4401832814948579,0.3883669884408687,0.3024120731889979,0.6221994672696766,0.7200399769625531,0.531460474947343,0.6860671229660966,0.28136207989989553,0.46851473076472505,0.6417094847606759,0.6405809073704689,0.11619385231966611,0.34753654701402414,0.2506185608461269,0.49259219500341533,0.5432687891778598,0.38551298156619784,0.5370472639612858,0.5136054732096113,0.48703234510621957,0.2783126821463322,0.35281663784575545,0.4492441252195991,0.584085026616395,0.4936691213783789,0.6560100006523986,0.6421051720552746,0.645487361539783,0.643098596679354,0.4991894707282427,0.5687324923013741,0.6170979077101596,0.40478413050107853,0.6284709152263044,0.30272273896094776,0.29550352897293997,0.6515014629493767,0.715117990258633
EGF,0.5847154153399939,0.0,0.6028870470132113,0.6061770547764628,0.6243749206172617,0.42887403204423613,0.10883289497141607,0.24217119809027704,0.6671380566692297,0.5342879001558087,0.47166680639320885,0.47398726362604726,0.4356205350280239,0.5683792770037656,0.47823788811247536,0.5886547887640375,0.5784686253008072,0.4432624129506806,0.5164190771103128,0.40898002051803384,0.6828438209168064,0.5118325137062643,0.5874933993560635,0.6069288563287811,0.610691809762756,0.5491440534382549,0.5334387297729518,0.6663955799650414,0.5673546115730617,0.520625327759488,0.5479869924201249,0.6930199251257576,0.3362833297640523,0.2206923591574484,0.47394294863487957,0.44733444151724744,0.5757985737096032,0.545115656955983,0.34458174746927106,0.26978193687494934,0.5982427053316295,0.5763130533525438,0.6254886802056896,0.5240722584162905,0.523722757814271,0.6057127006646513,0.21877121876643207,0.7202409958031639,0.5470609573798426,0.6362905291962497,0.31719679871208006,0.6079592557409349,0.6167502854135476,0.5928224336424588,0.3917308253258424,0.5867717918392726,0.6045868033449454,0.5884632394596199,0.6785486996243586,0.48449551606852775,0.5684460162180461,0.5511961131645017,0.6075744636307406,0.5705067084664068,0.5190288759575046,0.5735117442269559,0.4138615634929743
Eotaxin,0.4544291058272861,0.6028870470132113,0.0,0.6236499734725828,0.2751812981490488,0.5560602266918333,0.6201047452278041,0.5408891101673996,0.49882178469357397,0.6077019160249412,0.5941524291938327,0.6081921515520877,0.6457019582824051,0.6524714246513532,0.6283718458733277,0.6025048097597135,0.5700905422161634,0.636650956654034,0.47874110320689883,0.6235017990333878,0.4960372673090294,0.597680266374301,0.43574321605055727,0.5939690667853285,0.5903971556743342,0.7506410975498359,0.4005824761428967,0.4906717158974256,0.2526591134288156,0.353402201281641,0.6733330751123784,0.45934987334562,0.6071530861318323,0.6285000672461898,0.6882581878575124,0.6030695094169098,0.3927766907136162,0.5518866219242028,0.6018612959504888,0.6372433436375537,0.47576110786891684,0.3766494922088682,0.38317782158333735,0.3127564997952266,0.6583361349624053,0.5788857435593108,0.5813438957214374,0.39441658732077156,0.46192039009548924,0.3503537958701669,0.6246338864471545,0.4154385656507185,0.40570128815950124,0.2815844427417103,0.47454967555904043,0.39784333832076546,0.27811859699338426,0.30427386039108306,0.37105465911482,0.5659934485964397,0.40227265895356534,0.4702688284725678,0.4284060048577167,0.38299828548301484,0.4193564186209965,0.346608372921271,0.6199446701359351
FGF-2,0.33704697570269637,0.6061770547764628,0.6236499734725828,0.0,0.4884756398299098,0.20930214236790456,0.6234369433967706,0.5801060874350522,0.11336005299148427,0.32737499859489383,0.5516243037438271,0.5036275019779729,0.5810237964955172,0.048963432409142194,0.5301789150088382,0.031061611413008006,0.3836278256566291,0.6408036957818035,0.33074664039406376,0.5130261906526667,0.1622161399370181,0.5272878314734797,0.7498547775640237,0.06403145536962285,0.047142934750818655,0.0802346982695204,0.6648147975294263,0.17053483315016804,0.6506496514419404,0.5969723994242462,0.08188641851504391,0.35868620452235667,0.5973971325483204,0.5815705098139836,0.2625184387650085,0.5028948456869473,0.5649797165445201,0.5707962375619741,0.5238999915464454,0.6621076561305934,0.32090909280169555,0.47153714833194227,0.4222944813119228,0.47416010391961316,0.26294441185812056,0.06768442815413123,0.4866259727290303,0.4891132276397761,0.527377145136725,0.5622233128778268,0.5885924079097284,0.6955674687723616,0.6212288697193845,0.6272070203714307,0.7150461944560438,0.7799185029472497,0.7746635129717931,0.8111939636556273,0.3549776935412396,0.6228243302859976,0.8039959408681855,0.3819712859202402,0.7466608453200427,0.6996062992512568,0.5714393951383177,0.8079641286246397,0.6353391489312585
FLT-3L,0.39080143417432356,0.6243749206172617,0.2751812981490488,0.4884756398299098,0.0,0.45138871720837237,0.6193475810380943,0.5674189540183006,0.3850215306754171,0.5519077004595729,0.5627716197232172,0.5672059371287643,0.5994658643716918,0.5781693530021437,0.8323971160565162,0.487293373798047,0.6034296597696982,0.5496921373635482,0.2777654367697545,0.6079521537143747,0.3697723065619648,0.5271174353050161,0.5080751767163396,0.549075096930015,0.5304274559914747,0.633483446752636,0.3906469006279011,0.3228612999569453,0.2465067184974229,0.5659106524311195,0.5186486060820302,0.33540328724566915,0.5669193117155498,0.6077411025471787,0.4754490848856319,0.5087932493920432,0.4842279300720211,0.3640176952362073,0.52672411870644,0.5545225228212174,0.44706016659581643,0.42905367502612046,0.342698546132208,0.2219594506274552,0.5442157249839091,0.4269918549871771,0.6308835552896654,0.5392001519783298,0.5283904224816279,0.4094297554295203,0.5046746912860736,0.4913924550104158,0.6211647343383303,0.48275003687128154,0.616802935725403,0.5802970450694805,0.4441618987924534,0.5062630714253759,0.3187859025267077,0.533611137421086,0.5798830720290551,0.5640843634789355,0.6075746895533689,0.5301127549945905,0.5401395202982597,0.5439045752412717,0.6171596731084277
Fractalkine,0.4491657540226658,0.42887403204423613,0.5560602266918333,0.20930214236790456,0.45138871720837237,0.0,0.41112294865350923,0.540246312689503,0.17437839367625702,0.4246827329077749,0.5904127095067716,0.5565410242914536,0.5609619789998262,0.21948346089863258,0.5894433976442117,0.168543891863631,0.5070748878551933,0.5258584594000096,0.2833733558293546,0.4866228669435173,0.3067736352912216,0.5877458266005985,0.7312297189994015,0.19571673093487424,0.17957665377206533,0.2833933290239706,0.5998259402292504,0.22549565195284033,0.5153741282041843,0.6342723297178425,0.16192611477910684,0.4070580370765591,0.4625851811338284,0.5358466264535318,0.29107106916555026,0.5368361531073852,0.5675110104616895,0.6198938176982491,0.4684715810157504,0.5581839244585477,0.47168452907638025,0.5665993161459049,0.4971440989470763,0.3622491104832467,0.3740796573397211,0.19127635903407803,0.370082676321298,0.5824987764044134,0.47819437060079334,0.5749583177298868,0.4509100952940803,0.7356563264454802,0.6613214074803176,0.7311320976449837,0.6361729839058943,0.7744336872201961,0.7047148992448934,0.7660379308609524,0.41426463787975,0.42345187124057565,0.8037878008410311,0.47791676020703944,0.7636135739855257,0.7133861017250168,0.5879942978443305,0.7840193879619732,0.45998970495834873
G-CSF,0.687551578241082,0.10883289497141607,0.6201047452278041,0.6234369433967706,0.6193475810380943,0.41112294865350923,0.0,0.18261696708371544,0.6562416343444383,0.5631331379592983,0.5224526226284186,0.5207528844698955,0.38465446356491684,0.5905159991110571,0.3768619959840138,0.6132143165676528,0.5775629252190938,0.3466317687287992,0.5690741094177035,0.33441730503479083,0.6747494260488635,0.546943918711213,0.5660722887587407,0.6149993504473458,0.6351899285441812,0.5726449471032609,0.5148781508034976,0.6658882075110591,0.5499395831963622,0.5874016983483412,0.604661149995436,0.661906638570377,0.25923399265547536,0.22512979674640787,0.3658763603565468,0.4363157971430411,0.6391666115772832,0.5119590775644908,0.3828974471997264,0.3007509411770916,0.6996087857757255,0.6405093212463576,0.6383296024797729,0.5242505316242699,0.5960154291657973,0.612070691912454,0.21476878064730415,0.681795943706679,0.5342854355670362,0.6725348824477895,0.34918046903214983,0.6071661991380695,0.6029020122166969,0.628988280175401,0.39508184509579897,0.5498854136213918,0.5569803355334185,0.5486613309963745,0.6618280997306791,0.3613101021624656,0.5507479890041062,0.5680975651318435,0.5687983730891617,0.6362268055109332,0.6175122212534598,0.5386161175971211,0.312216581861307
GROα,0.6110364967269288,0.24217119809027704,0.5408891101673996,0.5801060874350522,0.5674189540183006,0.540246312689503,0.18261696708371544,0.0,0.6283741037701073,0.5344251600500727,0.5123177512646522,0.5151480127010938,0.40324892959410924,0.5579214002492677,0.5000071085233398,0.577191504402414,0.5585942501150145,0.4364132391909355,0.49463908066663903,0.3130361632203029,0.612789953567046,0.5232212918277633,0.5654242062089091,0.5871657942008044,0.592550563978657,0.5526664240613606,0.535302765376859,0.6214026384677735,0.5537001460084441,0.552441945731638,0.5000722280445894,0.6045499587904699,0.35236734768802536,0.27777489487600027,0.42219643511470667,0.46745198235579133,0.5734582433597003,0.5314968313544184,0.44230713428190044,0.4124232419104438,0.6114995824888144,0.5724165186690372,0.5753500871319693,0.5420371091038504,0.6205716285996233,0.5560028005120943,0.2346265812291043,0.6407619671590727,0.521381956620701,0.602852970070639,0.4566190007853764,0.5396507075305652,0.5877435890551685,0.5921072466741955,0.45636543319201067,0.5485616557400896,0.5625566291172435,0.5502257048174182,0.62587482988561,0.516384858512745,0.5421705578961808,0.5441941025869953,0.5653335382427502,0.5971696188862813,0.5633046755552416,0.5411956006209598,0.41490402059092624
IFN-α2,0.35625301593296477,0.6671380566692297,0.49882178469357397,0.11336005299148427,0.3850215306754171,0.17437839367625702,0.6562416343444383,0.6283741037701073,0.0,0.40552105715393205,0.6002226198925145,0.5696010298107862,0.6973514956382934,0.13895425798059363,0.5253518364261237,0.0745684620501218,0.45168863141466353,0.7183796440438655,0.30737526244448654,0.5866610242080939,0.1744793311015615,0.611953261750425,0.6056810213808427,0.07452408310257486,0.0863127368885016,0.24072881662828566,0.47474396779269945,0.06316674668298367,0.4049803227579308,0.6048957180550691,0.23339146249873816,0.3323180285403844,0.6194492882825372,0.6822417968412876,0.32369252493569567,0.5698667371482152,0.5074467649921718,0.6126696844518175,0.5745400621669289,0.7410815289049241,0.38143696715335057,0.5289635207256562,0.4622629787135967,0.2863783398400827,0.27636765616749326,0.16251463779831044,0.5967514693830323,0.36161491471353446,0.4984734328690987,0.5388569841064555,0.6179256301377738,0.6868878378653226,0.48709547871659203,0.6429445783219909,0.7157608391145995,0.6566497876779921,0.6067039627322478,0.6680941123910407,0.20123570248023154,0.6193488195502884,0.7047197826932058,0.43514244500501065,0.6314787338721126,0.615908163688285,0.5413262278172176,0.6993666311262308,0.6682059085590581
IFNγ,0.5457243943700183,0.5342879001558087,0.6077019160249412,0.32737499859489383,0.5519077004595729,0.4246827329077749,0.5631331379592983,0.5344251600500727,0.40552105715393205,0.0,0.3093755536549029,0.29468520195298,0.37204366715278603,0.34019603298433887,0.5048852901045526,0.355987494316496,0.4807348966456705,0.47195824125263425,0.3570633587444185,0.41350005977926724,0.43487201682209276,0.08848998696002985,0.6448534591346666,0.3558711130467197,0.3670771528624144,0.32109677351504984,0.5741859811148289,0.43109801607423764,0.575574908347547,0.5966845651338616,0.09122422146663367,0.5290685110791586,0.5497494627245078,0.4113686386544084,0.46441501620028497,0.43530808445787683,0.5957368332134071,0.4197090397723875,0.5325023733782543,0.5356144473017154,0.550555718920287,0.5713258870711273,0.5622168575502875,0.484149668199675,0.4065851945122011,0.38872386948523063,0.564871625321816,0.5821899936970585,0.5388049390644486,0.6183854149923738,0.6043830235880122,0.643693647813909,0.594254259542856,0.6407230973871377,0.6398727707318834,0.6205965035703227,0.6235903420222727,0.6383952216646622,0.4776720233657804,0.5789474294036608,0.6416493538053462,0.5242325621666547,0.623810693206042,0.6556593125367679,0.603365525387659,0.6343012376664048,0.5284404963391235
